datetime,Direction,Price,ReserveType
2024-01-02 12:15:00+01:00,Down,0.0,aFRR
2024-01-02 12:15:00+01:00,Up,0.0,aFRR
2024-01-02 12:30:00+01:00,Down,0.0,aFRR
2024-01-02 12:30:00+01:00,Up,0.0,aFRR
2024-01-02 12:45:00+01:00,Up,0.0,aFRR
2024-01-02 12:45:00+01:00,Down,0.0,aFRR
2024-01-02 13:00:00+01:00,Down,0.0,aFRR
2024-01-02 13:00:00+01:00,Up,249.51,aFRR
2024-01-02 13:15:00+01:00,Up,129.21,aFRR
2024-01-02 13:15:00+01:00,Down,0.0,aFRR
2024-01-02 13:30:00+01:00,Up,89.58,aFRR
2024-01-02 13:30:00+01:00,Down,0.0,aFRR
2024-01-02 13:45:00+01:00,Up,77.53,aFRR
2024-01-02 13:45:00+01:00,Down,0.0,aFRR
2024-01-02 14:00:00+01:00,Up,0.0,aFRR
2024-01-02 14:00:00+01:00,Down,0.0,aFRR
2024-01-02 14:15:00+01:00,Up,0.0,aFRR
2024-01-02 14:15:00+01:00,Down,0.0,aFRR
2024-01-02 14:30:00+01:00,Up,0.0,aFRR
2024-01-02 14:30:00+01:00,Down,0.0,aFRR
2024-01-02 14:45:00+01:00,Up,0.0,aFRR
2024-01-02 14:45:00+01:00,Down,58.0,aFRR
2024-01-02 15:00:00+01:00,Up,0.0,aFRR
2024-01-02 15:00:00+01:00,Down,47.0,aFRR
2024-01-02 15:15:00+01:00,Up,0.0,aFRR
2024-01-02 15:15:00+01:00,Down,0.0,aFRR
2024-01-02 15:30:00+01:00,Up,0.0,aFRR
2024-01-02 15:30:00+01:00,Down,0.0,aFRR
2024-01-02 15:45:00+01:00,Down,51.52,aFRR
2024-01-02 15:45:00+01:00,Up,0.0,aFRR
2024-01-02 16:00:00+01:00,Down,-37.91,aFRR
2024-01-02 16:00:00+01:00,Up,0.0,aFRR
2024-01-02 16:15:00+01:00,Up,0.0,aFRR
2024-01-02 16:15:00+01:00,Down,40.34,aFRR
2024-01-02 16:30:00+01:00,Up,0.0,aFRR
2024-01-02 16:30:00+01:00,Down,63.52,aFRR
2024-01-02 16:45:00+01:00,Up,0.0,aFRR
2024-01-02 16:45:00+01:00,Down,51.52,aFRR
2024-01-02 17:00:00+01:00,Up,79.51,aFRR
2024-01-02 17:00:00+01:00,Down,-18.34,aFRR
2024-01-02 17:15:00+01:00,Down,0.0,aFRR
2024-01-02 17:15:00+01:00,Up,103.93,aFRR
2024-01-02 17:30:00+01:00,Up,0.0,aFRR
2024-01-02 17:30:00+01:00,Down,55.52,aFRR
2024-01-02 17:45:00+01:00,Up,0.0,aFRR
2024-01-02 17:45:00+01:00,Down,55.52,aFRR
2024-01-02 18:00:00+01:00,Down,1.52,aFRR
2024-01-02 18:00:00+01:00,Up,0.0,aFRR
2024-01-02 18:15:00+01:00,Up,0.0,aFRR
2024-01-02 18:15:00+01:00,Down,1.52,aFRR
2024-01-02 18:30:00+01:00,Down,-11.68,aFRR
2024-01-02 18:30:00+01:00,Up,0.0,aFRR
2024-01-02 18:45:00+01:00,Up,0.0,aFRR
2024-01-02 18:45:00+01:00,Down,18.0,aFRR
2024-01-02 19:00:00+01:00,Up,0.0,aFRR
2024-01-02 19:00:00+01:00,Down,61.52,aFRR
2024-01-02 19:15:00+01:00,Up,0.0,aFRR
2024-01-02 19:15:00+01:00,Down,61.52,aFRR
2024-01-02 19:30:00+01:00,Up,0.0,aFRR
2024-01-02 19:30:00+01:00,Down,-0.48,aFRR
2024-01-02 19:45:00+01:00,Down,15.52,aFRR
2024-01-02 19:45:00+01:00,Up,97.51,aFRR
2024-01-02 20:00:00+01:00,Up,1832.2,aFRR
2024-01-02 20:00:00+01:00,Down,0.0,aFRR
